id,name,name_norm,type,aliases,aliases_norm
02f50203f5a967ac3ebb42be,Ericsson,ericsson,Company,['Ericsson'],['ericsson']
0e132222d1315530d6efca52,Google,google,Company,['Google'],['google']
0ecbd5177fafb6f25a33707e,Aeris Communications,aeris communications,Company,['Aeris Communications'],['aeris communications']
1a324b330bd048e7308e53f0,artificial intelligence,artificial intelligence,Technology,['artificial intelligence'],['artificial intelligence']
1fb6f1337f1c2305d3c6fefe,H2O.ai,h2o.ai,Company,['H2O.ai'],['h2o.ai']
2ee142c84a52210f0a8e6ada,Manufacturing Data Cloud,manufacturing data cloud,Technology,['Manufacturing Data Cloud'],['manufacturing data cloud']
3a0b9f171c10cd7d231f96d0,H2O AI Cloud,h2o ai cloud,Technology,['H2O AI Cloud'],['h2o ai cloud']
484f3c9dd94fc58f2b43919b,Bill Chappell,bill chappell,Person,['Bill Chappell'],['bill chappell']
627c90afc7e58f22a0637349,Code Llama,code llama,Technology,['Code Llama'],['code llama']
6dbfdfc5a4e8df3668a4dac3,Meta,meta,Company,['Meta'],['meta']
773eeb9b7cc008bff365fcdd,OpenAI,openai,Company,['OpenAI'],['openai']
879eef50f3e2d235cccb1790,Snowflake,snowflake,Company,['Snowflake'],['snowflake']
8af8e17ecdf20a7ed7ebf6d7,Falcon LLM,falcon llm,Technology,['Falcon LLM'],['falcon llm']
909fcd9c188c8c2429afa468,Google Cloud,google cloud,Company,['Google Cloud'],['google cloud']
934271022c07755cad9182b0,chips,chips,Technology,['chips'],['chips']
afec5285c51fcb0000ca9afa,Llama 2,llama 2,Technology,['Llama 2'],['llama 2']
b823fb02e58a12bdc4c38934,NVIDIA,nvidia,Company,"['NVIDIA', 'Nvidia']",['nvidia']
bbec5af77f9d18669e926e3c,Strategic Missions and Technologies,strategic missions and technologies,Company,['Strategic Missions and Technologies'],['strategic missions and technologies']
cc9c6ee3857729e221d3f6de,ServiceNow,servicenow,Company,['ServiceNow'],['servicenow']
ce0b6a8e50a6a58526e4c85f,Aeris,aeris,Company,['Aeris'],['aeris']
